transaction_id,sale_date,product,product_category,customer_id,quantity,unit_price,revenue
TXN00173,2024-01-04,"LG UltraWide 34""",Monitors,CUST0372,1,549,549
TXN01837,2024-01-04,Wireless Mouse,Accessories,CUST0217,1,29,29
TXN01705,2024-01-04,Google Pixel 8,Smartphones,CUST0034,1,699,699
TXN01097,2024-01-04,HP Pavilion 15,Laptops,CUST0499,2,749,1498
TXN01609,2024-01-04,USB-C Cable,Accessories,CUST0316,1,19,19
TXN01703,2024-01-05,"MacBook Pro 14""",Laptops,CUST0582,1,1899,1899
TXN00094,2024-01-05,iPad Air,Tablets,CUST0569,3,599,1797
TXN01790,2024-01-05,Google Pixel 8,Smartphones,CUST0242,1,699,699
TXN01021,2024-01-05,OnePlus 12,Smartphones,CUST0702,2,649,1298
TXN00366,2024-01-05,Lenovo ThinkPad,Laptops,CUST0084,5,1099,5495
TXN00378,2024-01-05,Microsoft Surface Go,Tablets,CUST0062,1,449,449
TXN01657,2024-01-05,Samsung Tab S9,Tablets,CUST0655,1,549,549
TXN01678,2024-01-05,Samsung Galaxy S24,Smartphones,CUST0380,3,899,2697
TXN01594,2024-01-06,Microsoft Surface Go,Tablets,CUST0156,1,449,449
TXN01452,2024-01-06,iPad Air,Tablets,CUST0468,1,599,599
TXN01403,2024-01-06,USB-C Cable,Accessories,CUST0212,1,19,19
TXN01777,2024-01-06,Samsung Galaxy S24,Smartphones,CUST0762,1,899,899
TXN01806,2024-01-07,USB-C Cable,Accessories,CUST0116,2,19,38
TXN00793,2024-01-07,Samsung Galaxy S24,Smartphones,CUST0224,4,899,3596
TXN01408,2024-01-07,HP Pavilion 15,Laptops,CUST0780,1,749,749
TXN00425,2024-01-08,HP Pavilion 15,Laptops,CUST0740,2,749,1498
TXN01453,2024-01-08,Wireless Mouse,Accessories,CUST0049,2,29,58
TXN01343,2024-01-08,Webcam HD,Accessories,CUST0498,3,79,237
TXN00458,2024-01-08,Laptop Stand,Accessories,CUST0340,2,49,98
TXN01882,2024-01-09,Webcam HD,Accessories,CUST0074,1,79,79
TXN02043,2024-01-09,"LG UltraWide 34""",Monitors,CUST0757,4,549,2196
TXN01684,2024-01-09,Laptop Stand,Accessories,CUST0228,1,49,49
TXN01263,2024-01-09,"Samsung 24"" FHD",Monitors,CUST0678,1,179,179
TXN00448,2024-01-09,Microsoft Surface Go,Tablets,CUST0407,1,449,449
TXN02366,2024-01-09,Dell XPS 13,Laptops,CUST0068,1,1299,1299
TXN01946,2024-01-09,Wireless Mouse,Accessories,CUST0025,1,29,29
TXN00983,2024-01-10,iPhone 15 Pro,Smartphones,CUST0428,1,999,999
TXN00664,2024-01-10,Google Pixel 8,Smartphones,CUST0058,1,699,699
TXN00219,2024-01-10,Lenovo ThinkPad,Laptops,CUST0428,1,1099,1099
TXN02302,2024-01-10,iPad Air,Tablets,CUST0397,1,599,599
TXN00754,2024-01-10,iPhone 15 Pro,Smartphones,CUST0371,1,999,999
TXN01793,2024-01-10,Microsoft Surface Go,Tablets,CUST0052,2,449,898
TXN00506,2024-01-10,Lenovo ThinkPad,Laptops,CUST0204,5,1099,5495
TXN01724,2024-01-11,Webcam HD,Accessories,CUST0641,1,79,79
TXN02107,2024-01-11,Dell XPS 13,Laptops,CUST0770,1,1299,1299
TXN00046,2024-01-11,"MacBook Pro 14""",Laptops,CUST0510,2,1899,3798
TXN00761,2024-01-11,OnePlus 12,Smartphones,CUST0424,2,649,1298
TXN00609,2024-01-11,iPad Air,Tablets,CUST0751,4,599,2396
TXN02444,2024-01-12,Lenovo ThinkPad,Laptops,CUST0207,1,1099,1099
TXN01268,2024-01-12,Wireless Mouse,Accessories,CUST0721,1,29,29
TXN01285,2024-01-12,"Samsung 24"" FHD",Monitors,CUST0311,1,179,179
TXN01027,2024-01-12,Laptop Stand,Accessories,CUST0518,1,49,49
TXN02378,2024-01-12,iPhone 15 Pro,Smartphones,CUST0330,2,999,1998
TXN00063,2024-01-13,"LG UltraWide 34""",Monitors,CUST0683,1,549,549
TXN01591,2024-01-13,Samsung Tab S9,Tablets,CUST0089,1,549,549
TXN01232,2024-01-13,Dell XPS 13,Laptops,CUST0603,2,1299,2598
TXN01611,2024-01-13,Laptop Stand,Accessories,CUST0372,1,49,49
TXN01275,2024-01-13,Lenovo ThinkPad,Laptops,CUST0217,1,1099,1099
TXN00744,2024-01-13,HP Pavilion 15,Laptops,CUST0333,2,749,1498
TXN00211,2024-01-14,HP Pavilion 15,Laptops,CUST0732,1,749,749
TXN01752,2024-01-14,"MacBook Pro 14""",Laptops,CUST0149,1,1899,1899
TXN01220,2024-01-14,Wireless Mouse,Accessories,CUST0712,1,29,29
TXN02091,2024-01-14,Samsung Tab S9,Tablets,CUST0229,4,549,2196
TXN02309,2024-01-14,Samsung Galaxy S24,Smartphones,CUST0035,3,899,2697
TXN02173,2024-01-14,Samsung Tab S9,Tablets,CUST0614,2,549,1098
TXN00658,2024-01-15,Google Pixel 8,Smartphones,CUST0402,1,699,699
TXN01526,2024-01-15,iPad Air,Tablets,CUST0780,2,599,1198
TXN01483,2024-01-15,Samsung Galaxy S24,Smartphones,CUST0095,5,899,4495
TXN02069,2024-01-15,Google Pixel 8,Smartphones,CUST0325,2,699,1398
TXN01393,2024-01-15,"LG UltraWide 34""",Monitors,CUST0351,1,549,549
TXN02093,2024-01-16,Microsoft Surface Go,Tablets,CUST0108,3,449,1347
TXN00642,2024-01-16,Samsung Galaxy S24,Smartphones,CUST0773,1,899,899
TXN01225,2024-01-16,OnePlus 12,Smartphones,CUST0200,1,649,649
TXN01152,2024-01-16,USB-C Cable,Accessories,CUST0246,2,19,38
TXN00541,2024-01-16,"Samsung 24"" FHD",Monitors,CUST0641,1,179,179
TXN01548,2024-01-16,OnePlus 12,Smartphones,CUST0237,1,649,649
TXN01312,2024-01-17,Dell XPS 13,Laptops,CUST0114,3,1299,3897
TXN02356,2024-01-17,Laptop Stand,Accessories,CUST0308,1,49,49
TXN00092,2024-01-17,Samsung Tab S9,Tablets,CUST0113,2,549,1098
TXN01753,2024-01-17,Dell XPS 13,Laptops,CUST0697,2,1299,2598
TXN00400,2024-01-18,OnePlus 12,Smartphones,CUST0036,1,649,649
TXN01987,2024-01-18,"MacBook Pro 14""",Laptops,CUST0624,2,1899,3798
TXN01160,2024-01-18,Samsung Tab S9,Tablets,CUST0086,1,549,549
TXN00234,2024-01-19,"Dell 27"" 4K Monitor",Monitors,CUST0419,3,399,1197
TXN01622,2024-01-19,HP Pavilion 15,Laptops,CUST0750,1,749,749
TXN00508,2024-01-19,HP Pavilion 15,Laptops,CUST0350,1,749,749
TXN00018,2024-01-19,Laptop Stand,Accessories,CUST0266,1,49,49
TXN01636,2024-01-19,iPhone 15 Pro,Smartphones,CUST0157,1,999,999
TXN01849,2024-01-20,"Samsung 24"" FHD",Monitors,CUST0420,1,179,179
TXN01983,2024-01-20,Samsung Tab S9,Tablets,CUST0657,2,549,1098
TXN00107,2024-01-20,Bluetooth Headphones,Accessories,CUST0311,1,149,149
TXN01429,2024-01-20,Dell XPS 13,Laptops,CUST0456,1,1299,1299
TXN02325,2024-01-20,Wireless Mouse,Accessories,CUST0366,4,29,116
TXN00774,2024-01-21,OnePlus 12,Smartphones,CUST0309,2,649,1298
TXN00966,2024-01-21,Laptop Stand,Accessories,CUST0125,2,49,98
TXN01508,2024-01-21,Microsoft Surface Go,Tablets,CUST0231,1,449,449
TXN01022,2024-01-21,Microsoft Surface Go,Tablets,CUST0691,2,449,898
TXN01294,2024-01-21,"MacBook Pro 14""",Laptops,CUST0039,2,1899,3798
TXN02151,2024-01-21,iPad Air,Tablets,CUST0090,1,599,599
TXN02299,2024-01-21,"MacBook Pro 14""",Laptops,CUST0025,1,1899,1899
TXN02198,2024-01-22,iPhone 15 Pro,Smartphones,CUST0270,1,999,999
TXN01598,2024-01-22,iPhone 15 Pro,Smartphones,CUST0117,1,999,999
TXN01300,2024-01-22,"LG UltraWide 34""",Monitors,CUST0455,1,549,549
TXN01269,2024-01-22,"MacBook Pro 14""",Laptops,CUST0760,1,1899,1899
TXN02058,2024-01-22,Samsung Tab S9,Tablets,CUST0749,1,549,549
TXN02427,2024-01-22,Google Pixel 8,Smartphones,CUST0399,1,699,699
TXN00483,2024-01-22,Samsung Galaxy S24,Smartphones,CUST0531,1,899,899
TXN02014,2024-01-22,Samsung Tab S9,Tablets,CUST0162,1,549,549
TXN02242,2024-01-23,USB-C Cable,Accessories,CUST0161,1,19,19
TXN01435,2024-01-23,Wireless Mouse,Accessories,CUST0235,1,29,29
TXN00333,2024-01-23,Bluetooth Headphones,Accessories,CUST0719,3,149,447
TXN01136,2024-01-24,"Samsung 24"" FHD",Monitors,CUST0010,1,179,179
TXN01091,2024-01-24,Dell XPS 13,Laptops,CUST0055,1,1299,1299
TXN00653,2024-01-24,Webcam HD,Accessories,CUST0714,2,79,158
TXN01402,2024-01-24,iPhone 15 Pro,Smartphones,CUST0075,1,999,999
TXN01416,2024-01-24,Wireless Mouse,Accessories,CUST0426,1,29,29
TXN00781,2024-01-25,"LG UltraWide 34""",Monitors,CUST0689,2,549,1098
TXN01140,2024-01-25,Bluetooth Headphones,Accessories,CUST0244,2,149,298
TXN00404,2024-01-25,Microsoft Surface Go,Tablets,CUST0017,3,449,1347
TXN02416,2024-01-26,Google Pixel 8,Smartphones,CUST0240,2,699,1398
TXN01277,2024-01-26,Lenovo ThinkPad,Laptops,CUST0761,1,1099,1099
TXN01892,2024-01-26,Samsung Galaxy S24,Smartphones,CUST0330,2,899,1798
TXN00345,2024-01-26,Samsung Galaxy S24,Smartphones,CUST0770,1,899,899
TXN00389,2024-01-26,Samsung Tab S9,Tablets,CUST0304,1,549,549
TXN00954,2024-01-26,OnePlus 12,Smartphones,CUST0382,1,649,649
TXN00207,2024-01-26,Wireless Mouse,Accessories,CUST0789,2,29,58
TXN00088,2024-01-26,OnePlus 12,Smartphones,CUST0488,2,649,1298
TXN00694,2024-01-26,OnePlus 12,Smartphones,CUST0610,2,649,1298
TXN01814,2024-01-27,iPad Air,Tablets,CUST0695,5,599,2995
TXN00012,2024-01-27,iPhone 15 Pro,Smartphones,CUST0146,2,999,1998
TXN02165,2024-01-27,Laptop Stand,Accessories,CUST0046,1,49,49
TXN00396,2024-01-27,HP Pavilion 15,Laptops,CUST0412,1,749,749
TXN01717,2024-01-27,iPad Air,Tablets,CUST0055,3,599,1797
TXN00526,2024-01-27,Lenovo ThinkPad,Laptops,CUST0409,1,1099,1099
TXN02397,2024-01-27,Dell XPS 13,Laptops,CUST0223,2,1299,2598
TXN00752,2024-01-27,Microsoft Surface Go,Tablets,CUST0230,1,449,449
TXN01538,2024-01-27,Wireless Mouse,Accessories,CUST0701,1,29,29
TXN02196,2024-01-27,Google Pixel 8,Smartphones,CUST0536,2,699,1398
TXN01517,2024-01-27,iPhone 15 Pro,Smartphones,CUST0425,1,999,999
TXN00552,2024-01-28,Laptop Stand,Accessories,CUST0070,3,49,147
TXN00014,2024-01-28,Lenovo ThinkPad,Laptops,CUST0087,2,1099,2198
TXN00790,2024-01-28,OnePlus 12,Smartphones,CUST0543,1,649,649
TXN00834,2024-01-28,iPad Air,Tablets,CUST0789,2,599,1198
TXN02171,2024-01-28,Samsung Tab S9,Tablets,CUST0416,1,549,549
TXN00009,2024-01-28,Bluetooth Headphones,Accessories,CUST0632,1,149,149
TXN02492,2024-01-28,"MacBook Pro 14""",Laptops,CUST0544,2,1899,3798
TXN02015,2024-01-28,Dell XPS 13,Laptops,CUST0487,1,1299,1299
TXN01239,2024-01-28,iPad Air,Tablets,CUST0307,1,599,599
TXN00288,2024-01-28,iPad Air,Tablets,CUST0576,1,599,599
TXN01421,2024-01-28,"MacBook Pro 14""",Laptops,CUST0091,1,1899,1899
TXN00294,2024-02-01,Wireless Mouse,Accessories,CUST0768,1,29,29
TXN01659,2024-02-01,Dell XPS 13,Laptops,CUST0303,3,1299,3897
TXN01485,2024-02-01,OnePlus 12,Smartphones,CUST0765,5,649,3245
TXN01129,2024-02-01,Bluetooth Headphones,Accessories,CUST0463,3,149,447
TXN00934,2024-02-02,Laptop Stand,Accessories,CUST0564,1,49,49
TXN01986,2024-02-02,Google Pixel 8,Smartphones,CUST0162,2,699,1398
TXN00427,2024-02-02,Lenovo ThinkPad,Laptops,CUST0800,3,1099,3297
TXN02099,2024-02-02,"MacBook Pro 14""",Laptops,CUST0657,1,1899,1899
TXN00300,2024-02-03,Wireless Mouse,Accessories,CUST0244,1,29,29
TXN00948,2024-02-03,Webcam HD,Accessories,CUST0477,1,79,79
TXN01380,2024-02-03,"Samsung 24"" FHD",Monitors,CUST0529,2,179,358
TXN01617,2024-02-04,Bluetooth Headphones,Accessories,CUST0508,1,149,149
TXN01444,2024-02-04,Laptop Stand,Accessories,CUST0241,1,49,49
TXN01674,2024-02-04,Bluetooth Headphones,Accessories,CUST0166,3,149,447
TXN00487,2024-02-04,Samsung Galaxy S24,Smartphones,CUST0430,1,899,899
TXN01080,2024-02-04,"LG UltraWide 34""",Monitors,CUST0479,2,549,1098
TXN00750,2024-02-04,Bluetooth Headphones,Accessories,CUST0106,1,149,149
TXN02453,2024-02-04,Lenovo ThinkPad,Laptops,CUST0107,3,1099,3297
TXN00968,2024-02-04,Webcam HD,Accessories,CUST0271,1,79,79
TXN00955,2024-02-05,Lenovo ThinkPad,Laptops,CUST0676,1,1099,1099
TXN00261,2024-02-05,Webcam HD,Accessories,CUST0347,3,79,237
TXN01359,2024-02-05,Samsung Galaxy S24,Smartphones,CUST0283,1,899,899
TXN00897,2024-02-05,OnePlus 12,Smartphones,CUST0050,2,649,1298
TXN00277,2024-02-05,Lenovo ThinkPad,Laptops,CUST0090,4,1099,4396
TXN00447,2024-02-05,Webcam HD,Accessories,CUST0389,1,79,79
TXN01796,2024-02-05,iPhone 15 Pro,Smartphones,CUST0509,1,999,999
TXN02147,2024-02-05,iPad Air,Tablets,CUST0183,1,599,599
TXN02394,2024-02-05,iPhone 15 Pro,Smartphones,CUST0476,1,999,999
TXN00420,2024-02-06,iPhone 15 Pro,Smartphones,CUST0568,2,999,1998
TXN01719,2024-02-06,iPhone 15 Pro,Smartphones,CUST0281,1,999,999
TXN01302,2024-02-06,iPhone 15 Pro,Smartphones,CUST0759,1,999,999
TXN01945,2024-02-06,Wireless Mouse,Accessories,CUST0172,1,29,29
TXN00685,2024-02-06,Dell XPS 13,Laptops,CUST0531,2,1299,2598
TXN02407,2024-02-06,OnePlus 12,Smartphones,CUST0007,1,649,649
TXN00899,2024-02-06,Webcam HD,Accessories,CUST0644,1,79,79
TXN00646,2024-02-07,Samsung Galaxy S24,Smartphones,CUST0275,2,899,1798
TXN00258,2024-02-07,iPad Air,Tablets,CUST0413,1,599,599
TXN00273,2024-02-07,HP Pavilion 15,Laptops,CUST0419,2,749,1498
TXN02245,2024-02-07,USB-C Cable,Accessories,CUST0502,1,19,19
TXN02276,2024-02-07,Laptop Stand,Accessories,CUST0588,1,49,49
TXN01260,2024-02-07,HP Pavilion 15,Laptops,CUST0702,3,749,2247
TXN00786,2024-02-08,"LG UltraWide 34""",Monitors,CUST0419,2,549,1098
TXN01015,2024-02-08,Microsoft Surface Go,Tablets,CUST0783,1,449,449
TXN00236,2024-02-08,"Dell 27"" 4K Monitor",Monitors,CUST0201,1,399,399
TXN00128,2024-02-08,Wireless Mouse,Accessories,CUST0203,1,29,29
TXN00914,2024-02-08,Samsung Galaxy S24,Smartphones,CUST0575,1,899,899
TXN02159,2024-02-08,iPhone 15 Pro,Smartphones,CUST0618,1,999,999
TXN01660,2024-02-09,"MacBook Pro 14""",Laptops,CUST0438,1,1899,1899
TXN01799,2024-02-09,iPad Air,Tablets,CUST0664,2,599,1198
TXN01431,2024-02-09,Dell XPS 13,Laptops,CUST0247,3,1299,3897
TXN00290,2024-02-09,"LG UltraWide 34""",Monitors,CUST0722,1,549,549
TXN00414,2024-02-09,Samsung Galaxy S24,Smartphones,CUST0431,2,899,1798
TXN00314,2024-02-09,"Dell 27"" 4K Monitor",Monitors,CUST0712,5,399,1995
TXN01903,2024-02-10,Wireless Mouse,Accessories,CUST0593,2,29,58
TXN00266,2024-02-10,Bluetooth Headphones,Accessories,CUST0185,3,149,447
TXN01702,2024-02-10,Samsung Galaxy S24,Smartphones,CUST0532,1,899,899
TXN00004,2024-02-11,Google Pixel 8,Smartphones,CUST0354,3,699,2097
TXN00735,2024-02-11,Webcam HD,Accessories,CUST0142,1,79,79
TXN02403,2024-02-11,"LG UltraWide 34""",Monitors,CUST0573,2,549,1098
TXN02194,2024-02-11,Dell XPS 13,Laptops,CUST0594,1,1299,1299
TXN01698,2024-02-11,USB-C Cable,Accessories,CUST0527,2,19,38
TXN01527,2024-02-11,Lenovo ThinkPad,Laptops,CUST0341,1,1099,1099
TXN00692,2024-02-11,Lenovo ThinkPad,Laptops,CUST0189,1,1099,1099
TXN00084,2024-02-12,HP Pavilion 15,Laptops,CUST0256,2,749,1498
TXN00794,2024-02-12,Laptop Stand,Accessories,CUST0153,1,49,49
TXN01081,2024-02-12,iPhone 15 Pro,Smartphones,CUST0090,1,999,999
TXN01947,2024-02-12,OnePlus 12,Smartphones,CUST0393,1,649,649
TXN02235,2024-02-12,iPad Air,Tablets,CUST0260,1,599,599
TXN00976,2024-02-12,Lenovo ThinkPad,Laptops,CUST0503,4,1099,4396
TXN00121,2024-02-12,"MacBook Pro 14""",Laptops,CUST0685,1,1899,1899
TXN00910,2024-02-13,Lenovo ThinkPad,Laptops,CUST0198,1,1099,1099
TXN01163,2024-02-13,Lenovo ThinkPad,Laptops,CUST0634,1,1099,1099
TXN00486,2024-02-13,Lenovo ThinkPad,Laptops,CUST0273,2,1099,2198
TXN02037,2024-02-13,Laptop Stand,Accessories,CUST0487,1,49,49
TXN00984,2024-02-13,Lenovo ThinkPad,Laptops,CUST0083,2,1099,2198
TXN00209,2024-02-14,"MacBook Pro 14""",Laptops,CUST0555,1,1899,1899
TXN00058,2024-02-14,Samsung Galaxy S24,Smartphones,CUST0147,2,899,1798
TXN00175,2024-02-14,OnePlus 12,Smartphones,CUST0219,2,649,1298
TXN00668,2024-02-14,Laptop Stand,Accessories,CUST0135,1,49,49
TXN01537,2024-02-14,Bluetooth Headphones,Accessories,CUST0680,1,149,149
TXN00809,2024-02-14,Samsung Tab S9,Tablets,CUST0639,2,549,1098
TXN00676,2024-02-14,Microsoft Surface Go,Tablets,CUST0493,2,449,898
TXN00558,2024-02-15,OnePlus 12,Smartphones,CUST0679,1,649,649
TXN01490,2024-02-15,iPhone 15 Pro,Smartphones,CUST0399,3,999,2997
TXN00477,2024-02-15,Bluetooth Headphones,Accessories,CUST0464,1,149,149
TXN01487,2024-02-15,Google Pixel 8,Smartphones,CUST0023,1,699,699
TXN01214,2024-02-15,HP Pavilion 15,Laptops,CUST0306,1,749,749
TXN02456,2024-02-15,OnePlus 12,Smartphones,CUST0130,1,649,649
TXN00210,2024-02-15,iPad Air,Tablets,CUST0632,2,599,1198
TXN02390,2024-02-15,Wireless Mouse,Accessories,CUST0084,2,29,58
TXN02362,2024-02-16,Dell XPS 13,Laptops,CUST0325,1,1299,1299
TXN01379,2024-02-16,Samsung Tab S9,Tablets,CUST0771,1,549,549
TXN00504,2024-02-16,OnePlus 12,Smartphones,CUST0374,1,649,649
TXN01990,2024-02-16,Bluetooth Headphones,Accessories,CUST0097,1,149,149
TXN01900,2024-02-16,Webcam HD,Accessories,CUST0562,2,79,158
TXN01074,2024-02-16,Microsoft Surface Go,Tablets,CUST0006,1,449,449
TXN01143,2024-02-17,Lenovo ThinkPad,Laptops,CUST0267,1,1099,1099
TXN02344,2024-02-17,iPad Air,Tablets,CUST0304,5,599,2995
TXN00808,2024-02-17,USB-C Cable,Accessories,CUST0450,3,19,57
TXN02070,2024-02-17,Lenovo ThinkPad,Laptops,CUST0655,2,1099,2198
TXN01574,2024-02-17,OnePlus 12,Smartphones,CUST0032,1,649,649
TXN02047,2024-02-17,iPhone 15 Pro,Smartphones,CUST0658,2,999,1998
TXN00875,2024-02-17,iPhone 15 Pro,Smartphones,CUST0062,1,999,999
TXN01126,2024-02-17,Lenovo ThinkPad,Laptops,CUST0725,1,1099,1099
TXN00247,2024-02-17,HP Pavilion 15,Laptops,CUST0498,1,749,749
TXN00626,2024-02-18,Laptop Stand,Accessories,CUST0135,1,49,49
TXN00275,2024-02-18,OnePlus 12,Smartphones,CUST0078,1,649,649
TXN00802,2024-02-18,Lenovo ThinkPad,Laptops,CUST0228,1,1099,1099
TXN00323,2024-02-18,OnePlus 12,Smartphones,CUST0635,1,649,649
TXN00163,2024-02-18,Lenovo ThinkPad,Laptops,CUST0385,4,1099,4396
TXN00192,2024-02-18,Google Pixel 8,Smartphones,CUST0393,1,699,699
TXN01676,2024-02-19,Dell XPS 13,Laptops,CUST0756,1,1299,1299
TXN00570,2024-02-19,Webcam HD,Accessories,CUST0281,3,79,237
TXN01173,2024-02-19,iPhone 15 Pro,Smartphones,CUST0757,1,999,999
TXN00228,2024-02-19,"LG UltraWide 34""",Monitors,CUST0743,5,549,2745
TXN00847,2024-02-19,Lenovo ThinkPad,Laptops,CUST0627,1,1099,1099
TXN01040,2024-02-19,OnePlus 12,Smartphones,CUST0289,2,649,1298
TXN02445,2024-02-19,Dell XPS 13,Laptops,CUST0154,2,1299,2598
TXN01468,2024-02-19,Microsoft Surface Go,Tablets,CUST0595,1,449,449
TXN02168,2024-02-20,iPhone 15 Pro,Smartphones,CUST0665,2,999,1998
TXN01579,2024-02-20,Laptop Stand,Accessories,CUST0244,1,49,49
TXN01326,2024-02-20,"Dell 27"" 4K Monitor",Monitors,CUST0662,1,399,399
TXN02162,2024-02-20,Bluetooth Headphones,Accessories,CUST0666,1,149,149
TXN01238,2024-02-20,"MacBook Pro 14""",Laptops,CUST0707,1,1899,1899
TXN02405,2024-02-21,"Dell 27"" 4K Monitor",Monitors,CUST0454,3,399,1197
TXN00240,2024-02-21,iPad Air,Tablets,CUST0732,1,599,599
TXN01601,2024-02-21,"Dell 27"" 4K Monitor",Monitors,CUST0080,1,399,399
TXN01296,2024-02-22,"MacBook Pro 14""",Laptops,CUST0013,2,1899,3798
TXN01776,2024-02-22,"MacBook Pro 14""",Laptops,CUST0643,2,1899,3798
TXN00597,2024-02-22,Laptop Stand,Accessories,CUST0550,4,49,196
TXN02436,2024-02-22,iPhone 15 Pro,Smartphones,CUST0244,1,999,999
TXN00168,2024-02-22,HP Pavilion 15,Laptops,CUST0758,2,749,1498
TXN02489,2024-02-22,Webcam HD,Accessories,CUST0194,1,79,79
TXN02437,2024-02-23,"Dell 27"" 4K Monitor",Monitors,CUST0581,1,399,399
TXN02259,2024-02-23,Laptop Stand,Accessories,CUST0452,2,49,98
TXN02252,2024-02-23,Bluetooth Headphones,Accessories,CUST0153,2,149,298
TXN00053,2024-02-23,HP Pavilion 15,Laptops,CUST0787,1,749,749
TXN02016,2024-02-23,Microsoft Surface Go,Tablets,CUST0181,2,449,898
TXN02476,2024-02-23,Microsoft Surface Go,Tablets,CUST0161,1,449,449
TXN00444,2024-02-23,"LG UltraWide 34""",Monitors,CUST0583,1,549,549
TXN01142,2024-02-24,Microsoft Surface Go,Tablets,CUST0351,2,449,898
TXN00581,2024-02-24,Samsung Galaxy S24,Smartphones,CUST0788,2,899,1798
TXN00423,2024-02-24,Microsoft Surface Go,Tablets,CUST0206,2,449,898
TXN02500,2024-02-24,USB-C Cable,Accessories,CUST0249,3,19,57
TXN02111,2024-02-24,iPhone 15 Pro,Smartphones,CUST0350,2,999,1998
TXN01957,2024-02-25,HP Pavilion 15,Laptops,CUST0532,1,749,749
TXN00370,2024-02-25,OnePlus 12,Smartphones,CUST0454,5,649,3245
TXN00598,2024-02-25,"MacBook Pro 14""",Laptops,CUST0117,2,1899,3798
TXN02332,2024-02-25,iPhone 15 Pro,Smartphones,CUST0638,2,999,1998
TXN02182,2024-02-25,Microsoft Surface Go,Tablets,CUST0478,2,449,898
TXN01265,2024-02-25,"Samsung 24"" FHD",Monitors,CUST0715,1,179,179
TXN02307,2024-02-26,HP Pavilion 15,Laptops,CUST0311,1,749,749
TXN01052,2024-02-27,HP Pavilion 15,Laptops,CUST0307,1,749,749
TXN00730,2024-02-27,Lenovo ThinkPad,Laptops,CUST0338,1,1099,1099
TXN00648,2024-02-27,iPad Air,Tablets,CUST0674,1,599,599
TXN01331,2024-02-28,Wireless Mouse,Accessories,CUST0663,2,29,58
TXN01094,2024-02-28,Lenovo ThinkPad,Laptops,CUST0546,1,1099,1099
TXN01620,2024-02-28,Lenovo ThinkPad,Laptops,CUST0220,2,1099,2198
TXN00073,2024-02-28,"MacBook Pro 14""",Laptops,CUST0298,1,1899,1899
TXN00159,2024-03-01,Bluetooth Headphones,Accessories,CUST0756,1,149,149
TXN02305,2024-03-01,iPhone 15 Pro,Smartphones,CUST0440,1,999,999
TXN02389,2024-03-01,OnePlus 12,Smartphones,CUST0198,1,649,649
TXN02334,2024-03-01,Laptop Stand,Accessories,CUST0103,1,49,49
TXN01342,2024-03-01,Lenovo ThinkPad,Laptops,CUST0032,2,1099,2198
TXN01817,2024-03-02,USB-C Cable,Accessories,CUST0713,1,19,19
TXN01304,2024-03-02,Microsoft Surface Go,Tablets,CUST0045,1,449,449
